id_tekmovalca,tekmovalec,leto_rojstva,drzava
5522,SUZUKI Sho,1990,JPN
5466,HAZETDINOV Ilmir,1991,RUS
6696,WELLINGER Andreas,1995,GER
5567,GEIGER Karl,1993,GER
5963,SHIMIZU Reruhi,1993,JPN
5293,BJERKEENGEN Fredrik,1988,NOR
5416,GRIMSRUD Simen Key,1992,NOR
5706,ROMASHOV Alexey,1992,RUS
5757,ASIKAINEN Lauri,1989,FIN
5361,KULMALA Mika,1989,FIN
5626,SEMENIC Anze,1993,SLO
5523,WATANABE Hiroaki,1991,JPN
6307,KOREK Dusty,1995,CAN
6342,KRAUS Marinus,1991,GER
4972,ZUPANCIC Miran,1989,SLO
5939,BIEGUN Krzysztof,1994,POL
5109,POGRAJC Andraz,1991,SLO
5894,BENEDIK Matic,1993,SLO
6008,KAELIN Pascal,1993,SUI
5723,LAMY CHAPPUIS Ronan,1993,FRA
6194,MAKSIMOCHKIN Mikhail,1993,RUS
5589,JOHANSSON Robert,1990,NOR
6398,KLINGA Sebastian,1992,FIN
4599,ZHAPAROV Marat,1985,KAZ
5695,JUSTIN Rok,1993,SLO
2171,PASCHKE Pius,1990,GER
6098,TANDE Daniel-Andre,1994,NOR
6165,WOLNY Jakub,1995,POL
4503,TAKAHASHI Daito,1980,JPN
7035,POLYCHRONIDIS Nico,1989,GRE
5235,SAMMELSELG Siim-Tanel,1993,EST
6560,PITEA Sorin Iulian,1997,ROU
5974,HAUER Joachim,1991,NOR
6559,TOROK Eduard,1997,ROU
5019,LAMB Chris,1989,USA
6480,PREVC Cene,1996,SLO
6437,LANISEK Anze,1996,SLO
5273,WENIG Daniel,1991,GER
5585,SCHIFFNER Markus,1992,AUT
5439,STAUDER Christoph,1992,AUT
6086,GREIDERER Simon,1996,AUT
6235,PEIER Killian,1995,SUI
6679,BOYARINTSEV Vladislav,1994,RUS
6492,SOKOLENKO Konstantin,1987,KAZ
5924,EGLOFF Luca,1995,SUI
6258,NOMME Martti,1993,EST
5778,CECON Federico,1994,ITA
6510,SHUVALOV Alexander,1992,RUS
5782,VARESCO Daniele,1995,ITA
7132,SHISHKIN Vadim,1995,RUS
6312,SJOEEN Phillip,1995,NOR
6100,FORFANG Johann Andre,1995,NOR
5262,LEYHE Stephan,1992,GER
6119,KARLEN Gabriel,1994,SUI
6009,SCHULER Andreas,1995,SUI
1931,ROWLEY Matthew,1993,CAN
6558,FUCHS Tim,1997,GER
5518,AIGNER Clemens,1993,AUT
6327,TOLLINGER Elias,1995,AUT
5550,BIELA Stanislaw,1994,POL
5519,WOHLGENANNT Ulrich,1994,AUT
6151,SATO Yukiya,1995,JPN
6724,POLASEK Viktor,1997,CZE
5237,HARADA Yumu,1990,JPN
6328,HOLIK Frantisek,1998,CZE
4682,MORRICE Trevor,1991,CAN
7256,BJOERENG Joacim Oedegaard,1995,NOR
6055,KADLEC Milos,1992,CZE
6581,RHOADS William,1995,USA
5788,MUMINOV Sabirzhan,1994,KAZ
6005,ANTONISSEN Lars,1995,NED
7091,PREVC Domen,1999,SLO
6645,KLIMOV Evgeniy,1994,RUS
6698,STEKALA Andrzej,1995,POL
6084,ASCHENWALD Philipp,1995,AUT
6912,KYTOESAHO Niko,1999,FIN
6734,LINDVIK Marius,1998,NOR
6671,BICKNER Kevin,1996,USA
7252,BAZHENOV Aleksandr,1995,RUS
6880,GRANERUD Halvor Egner,1996,NOR
6633,BARTOL Tilen,1997,SLO
6553,SIEGEL David,1996,GER
