mesto,id_tekmovalca,tocke
25,2934,225.3
26,4734,225.2
27,4880,221.7
28,2927,220.9
29,1971,217.5
30,4593,209.7
31,1996,113.5
32,3012,113.1
33,2030,113.0
34,4724,112.1
35,2004,111.2
36,2611,110.3
37,2034,108.9
38,2819,108.6
39,4259,108.0
40,2041,107.1
41,4321,105.3
42,4144,102.2
43,4561,97.5
44,3044,93.1
45,2931,89.8
45,2928,89.8
47,4322,89.0
48,4012,88.0
49,4420,86.1
50,1972,84.3
1,1995,293.0
2,1984,291.0
3,2033,282.0
4,2062,277.7
5,2917,265.8
6,2016,264.6
7,2004,262.0
8,4143,257.6
9,2092,256.6
10,4141,255.9
11,2022,255.5
12,2010,254.4
13,4186,253.5
13,2998,253.5
15,1991,252.6
15,3012,252.6
17,1996,247.0
18,2031,246.2
19,2113,245.7
20,2067,245.4
21,1971,243.0
22,2009,242.2
23,4259,239.9
24,2813,239.7
24,2088,239.7
26,2929,235.3
27,2928,230.1
28,2815,226.5
29,2934,224.8
30,2947,221.2
31,2611,214.4
32,1970,114.5
33,4321,112.6
34,2030,112.5
35,4734,112.1
36,2045,110.3
37,2927,108.0
38,2034,105.8
39,4880,104.5
40,2041,104.3
41,4724,103.5
42,2918,103.1
43,4593,102.9
44,4041,102.6
45,4322,99.0
46,2024,97.6
47,2077,91.7
48,1972,89.9
49,4645,82.6
50,4579,80.7
1,3012,452.9
2,2815,443.0
3,2918,442.6
4,2030,441.1
5,2917,440.9
6,2092,431.1
7,4141,429.4
8,2039,426.7
9,2033,421.4
10,1995,415.8
11,2016,413.9
12,2062,408.2
13,4143,406.3
14,1991,398.4
15,2067,397.9
16,2927,397.4
17,2929,394.7
18,2010,389.7
19,1996,388.3
20,4259,387.3
21,2009,382.3
22,2934,377.2
23,2031,375.1
24,4025,372.0
25,4334,366.9
26,2813,359.5
27,4333,359.3
28,2022,358.4
29,2611,347.7
30,2947,345.7
31,4580,160.5
1,2062,1984.0
3,2929,2010.0
5,1995,2092.0
7,2918,2033.0
9,4143,2039.0
11,2088,2009.0
13,2016,2985.0
15,1991,4141.0
17,3012,4025.0
19,2998,2611.0
21,2067,1970.0
23,2927,1998.0
25,2045,2030.0
27,2934,2077.0
29,1994,2975.0
31,3071,2022.0
33,3787,4947.0
35,4321,1996.0
37,4259,2004.0
38,2947,4613.0
41,2036,4561.0
43,2815,2900.0
45,4237,2919.0
47,4593,4176.0
49,4615,4880.0
1,1984,2929.0
3,2062,2092.0
5,2039,1995.0
7,4141,4143.0
9,2088,2016.0
11,2917,1991.0
13,2030,2010.0
15,1970,2998.0
17,2045,2611.0
19,2947,2927.0
21,2022,3012.0
23,2934,2975.0
25,2067,3023.0
27,1996,2033.0
29,2004,4025.0
31,2985,1998.0
33,4321,4880.0
35,2009,1994.0
37,2036,4259.0
39,4947,3787.0
41,2077,4561.0
43,4593,4041.0
45,2041,4176.0
47,2918,2119.0
49,2034,4237.0
1,4143,289.0
2,2917,282.2
3,4141,279.5
4,2033,279.4
5,4025,278.3
6,2062,276.3
7,2813,276.1
8,2092,275.9
9,3012,274.9
10,2815,272.9
11,2039,271.8
12,2010,271.0
13,2022,270.4
14,2016,270.2
15,2067,267.5
16,2009,266.5
17,1984,265.5
18,2927,264.8
19,5064,259.3
20,1996,256.9
21,2929,254.9
22,2031,254.5
23,1991,253.9
24,4259,248.8
25,1995,248.1
26,3071,247.2
27,2030,243.3
28,4580,242.8
29,4186,240.2
30,1998,238.8
31,2119,228.4
32,4645,119.9
33,2939,119.4
34,4321,118.9
35,2077,117.0
36,1970,116.7
37,2947,116.6
38,4615,115.6
39,2999,114.7
40,4706,113.4
41,2934,111.6
42,2900,111.2
